3222,304730,1
635,1113575,1
3175,127640,1
491,34082,1
551,30200,1
3340,754966,1
773,320913,1
2810,15391,1
1488,539418,1
491,18998,1
854,16306,1
626,2391429,1
551,102129,1
2810,1290083,1
1534,1253651,1
2486,9090,1
3497,466935,1
551,24252,1
956,3417258,1
551,218933,1
635,283419,1
3222,783762,1
3105,3674546,1
2356,82829,1
557,9077,1
475,136116,1
2101,9091,1
947,13758,1
491,17230,1
3222,68414,1
2810,21545,1
1481,329527,1
2356,15391,1
1695,832549,1
4141,374409,1
1759,434158,1
1922,226195,1
1481,266230,1
576,59446,1
3222,785724,1
576,18963,1
1192,14788,1
4634,9081,1
854,1434794,1
551,18474,1
551,308459,1
3222,835700,1
3222,119189,1
3340,856445,1
475,1370388,1
446,102676,1
4627,32824,1
1322,283419,1
3222,841970,1
4627,172627,1
3105,178274,1
2356,14628,1
551,22570,1
3340,1288923,1
4084,1246264,1
3222,1299198,1
854,59524,1
2951,1049947,1
2634,14628,1
3340,15805,1
3222,18697,1
1922,1602609,1
3222,839438,1
1922,1413081,1
3340,277683,1
1922,1287327,1
3760,9093,1
854,270515,1
98,1346024,1
3771,11859,1
3222,1162162,1
491,13153,1
3222,534075,1
2462,59902,1
3901,911813,1
3340,627702,1
4072,10678,1
2579,12906,1
1481,1593170,1
3222,33053,1
1922,631961,1
4084,1338297,1
446,17231,1
3222,801296,1
3222,729114,1
1192,23894,1
1488,1246242,1
2841,1109543,1
2356,59927,1
491,18680,1
3760,22097,1
4627,12906,1
626,482115,1
551,18925,1
3340,430089,1
491,14514,1
626,1230430,1
1542,25469,1
551,19409,1
3105,639323,1
3222,17185,1
3340,157750,1
4627,25555,1
2810,485207,1
3340,1253888,1
3222,1323905,1
98,10671,1
551,527656,1
491,19128,1
854,914712,1
1922,1489415,1
401,9090,1
2356,617344,1
2810,71859,1
401,61219,1
491,36383,1
3326,1502967,1
3340,693724,1
3771,18680,1
3326,1893699,1
551,265113,1
3340,222619,1
3222,55579,1
1922,810295,1
1488,1009868,1
1192,219169,1
3222,1167141,1
551,953340,1
2810,224938,1
3340,352463,1
551,612384,1
1534,606349,1
2810,22705,1
1192,442864,1
4627,262620,1
3340,1726434,1
551,252450,1
3340,16862,1
551,17141,1
1488,9097,1
3340,225372,1
845,837436,1
551,12595,1
491,18925,1
1922,1561035,1
1488,68414,1
3340,15799,1
2951,18680,1
1922,237030,1
2810,634877,1
626,3988432,1
491,9005,1
1192,16354,1
3340,220350,1
3340,737052,1
3159,1407659,1
1922,1190836,1
3222,892865,1
3340,581936,1
1192,23894,1
3222,1316562,1
3287,9844,1
1922,437803,1
1922,213814,1
475,437803,1
3771,339489,1
4012,96554,1
3340,15725,1
1542,1035927,1
1922,1464920,1
3340,507509,1
3497,907088,1
3222,175982,1
1192,42090,1
551,561047,1
551,1060062,1
3105,1985629,1
626,1587498,1
491,17769,1
446,9093,1
3222,209066,1
3340,211154,1
3340,1099758,1
551,13847,1
947,258098,1
401,369505,1
3340,1135807,1
626,186030,1
491,17228,1
626,257422,1
2951,54125,1
854,1435583,1
1922,1001444,1
491,18680,1
3222,19369,1
3497,166303,1
3340,66612,1
381,55579,1
4627,59902,1
3340,16440,1
1922,1488915,1
401,28893,1
491,22775,1
491,14924,1
3340,729841,1
1192,56989,1
4084,9081,1
626,75765,1
3340,1151171,1
491,153038,1
551,447326,1
4012,12906,1
626,1190932,1
3222,801296,1
3222,841970,1
2810,14628,1
3340,651935,1
551,153117,1
491,22573,1
576,17024,1
3055,59211,1
491,17217,1
551,36383,1
3771,26622,1
475,1426145,1
98,18081,1
3376,579772,1
267,640501,1
2810,464397,1
491,9079,1
3222,51508,1
2634,1594466,1
560,11057,1
2810,14514,1
1542,31781,1
491,222594,1
854,587915,1
2695,1556858,1
3222,395386,1
3326,5390605,1
3340,641390,1
3499,72284,1
3340,224970,1
2493,10678,1
551,18511,1
3771,443822,1
2810,1498244,1
2810,797779,1
3222,315307,1
3700,98713,1
2810,4769248,1
1488,615137,1
551,494871,1
956,328458,1
559,9082,1
491,22573,1
3222,22193,1
635,17024,1
1192,270393,1
551,879961,1
4627,70014,1
491,98507,1
1491,14790,1
475,1212355,1
626,1488915,1
626,261672,1
551,530144,1
3222,219389,1
2704,1181312,1
491,17584,1
635,529139,1
2810,542972,1
3771,617943,1
551,15391,1
3340,879961,1
3105,365985,1
3222,452866,1
3340,4064733,1
551,13847,1
3340,1561035,1
626,783936,1
2729,9097,1
1943,1000759,1
2810,18907,1
2810,64471,1
773,862508,1
2810,997849,1
576,19985,1
3326,949572,1
1488,1376056,1
3222,458367,1
3771,41980,1
